step,traffic_pattern,injection_rate,network_load,throughput,avg_latency,network_latency,unstable,congestion_score,hotspot_detected
66,uniform,0.015221,0.3,0.287156,93.05,85.19,0,0.19363224361498654,0
67,uniform,0.014645,0.288422,0.275313,93.78,85.61,0,0.20605013034363784,0
68,uniform,0.014701,0.290031,0.276594,89.42,82.6,0,0.199197966587307,0
69,uniform,0.014839,0.291406,0.27875,88.62,80.3,0,0.19394381118684115,0
70,uniform,0.015006,0.294063,0.277906,94.3,86.45,0,0.21262776990445376,0
71,uniform,0.018315,0.354422,0.330969,128.16,109.87,0,0.23198558504916222,0
72,uniform,0.018232,0.352109,0.327906,123.1,106.36,0,0.22881689498357363,0
73,uniform,0.018015,0.350109,0.325297,120.35,106.11,0,0.22843059169580054,0
74,uniform,0.017743,0.346703,0.327781,114.11,99.78,0,0.20370933719343826,0
75,uniform,0.017614,0.343813,0.325375,115.48,98.68,0,0.2068577364611389,0
76,uniform,0.018378,0.354187,0.331578,121.02,106.43,0,0.21881208172433625,0
77,uniform,0.017967,0.350078,0.327313,122.22,106.13,0,0.2249004671754383,0
78,uniform,0.019936,0.384062,0.352016,137.27,119.12,0,0.24366177035618422,0
79,uniform,0.019851,0.384172,0.353484,139.83,120.31,0,0.24347112668117052,0
80,uniform,0.020173,0.391234,0.363,129.58,113.76,0,0.21430566240722465,0
81,transpose,0.001046,0.017313,0.016875,47.24,47.24,0,0.31892642988790754,0
82,transpose,0.000702,0.011062,0.010937,49.43,49.43,0,0.315352506575872,0
83,transpose,0.000838,0.01325,0.012812,49.8,49.8,0,0.33231551325208175,0
84,transpose,0.001143,0.018562,0.018125,46.55,46.55,0,0.3154735408676713,0
85,transpose,0.001145,0.018562,0.018125,46.55,46.55,0,0.3154735408676713,0
86,transpose,0.000883,0.014188,0.01375,49.02,49.02,0,0.32861445243348836,0
87,transpose,0.001897,0.033688,0.033125,47.21,47.14,0,0.2992532448986298,0
88,transpose,0.001815,0.031813,0.03125,47.74,47.42,0,0.3023124262773755,0
89,transpose,0.002209,0.039313,0.038859,47.82,47.54,0,0.2915006814334166,0
90,transpose,0.001897,0.033688,0.033125,47.21,47.14,0,0.2992532448986298,0
91,transpose,0.002023,0.035875,0.035422,47.8,47.46,0,0.2950136912455871,0
92,transpose,0.001781,0.031813,0.03125,47.74,47.42,0,0.3023124262773755,0
93,transpose,0.002831,0.053719,0.052609,54.7,53.97,0,0.29874665339390116,0
94,transpose,0.002799,0.053719,0.052609,54.7,53.97,0,0.29874665339390116,0
95,transpose,0.003107,0.057469,0.056672,49.05,48.41,0,0.281494892754342,0
96,transpose,0.003133,0.057469,0.056672,49.05,48.41,0,0.281494892754342,0
97,transpose,0.003009,0.055906,0.054797,49.73,49.14,0,0.2888719310603166,0
98,transpose,0.002897,0.054656,0.053547,49.45,48.74,0,0.2897876891038616,0
99,transpose,0.00419,0.075516,0.074281,62.08,60.82,0,0.2896054132532579,0
100,transpose,0.00418,0.075516,0.074281,62.08,60.82,0,0.2896054132532579,0
101,transpose,0.003849,0.067781,0.066906,52.06,51.12,0,0.2773440857813964,0
102,transpose,0.004164,0.074578,0.072875,58.39,57.56,0,0.2904414992733752,0
103,transpose,0.003927,0.069578,0.068469,53.29,52.42,0,0.2804816274324289,0
104,transpose,0.004007,0.072391,0.071297,57.89,56.92,0,0.2845641223666245,0
105,transpose,0.004736,0.087266,0.084797,58.83,57.77,0,0.28637548303706023,0
106,transpose,0.005095,0.095672,0.093266,62.85,61.33,0,0.28332033406349977,0
107,transpose,0.004953,0.092266,0.089734,59.91,58.77,0,0.28349338392900403,0
108,transpose,0.004924,0.090875,0.08825,58.73,57.76,0,0.28404339541326123,0
109,transpose,0.004753,0.087891,0.085359,58.03,56.94,0,0.28515654130264806,0
110,transpose,0.005169,0.097266,0.095609,58.31,57.32,0,0.2679921701079609,0
111,transpose,0.006908,0.129891,0.125203,67.09,65.26,0,0.27403387512777716,0
112,transpose,0.007076,0.132906,0.128375,69.72,67.59,0,0.2739123534025459,0
113,transpose,0.006866,0.129891,0.125203,67.09,65.26,0,0.27403387512777716,0
114,transpose,0.006747,0.127469,0.121641,75.46,73.01,0,0.297332835118418,0
115,transpose,0.006807,0.129203,0.126109,68.88,66.83,0,0.26606382852589266,0
116,transpose,0.006785,0.128609,0.125328,72.95,70.96,0,0.27409825398314136,0
117,transpose,0.009901,0.176375,0.158766,121.01,113.21,1,0.48187561131349055,1
118,transpose,0.009732,0.175891,0.158562,121.43,113.56,1,0.4815858399436751,1
119,transpose,0.009837,0.178563,0.164406,104.77,97.98,1,0.4361141294876295,1
120,transpose,0.009976,0.181109,0.165125,125.51,116.88,1,0.47424715848770327,1
121,transpose,0.010017,0.183188,0.167984,124.73,115.64,1,0.46654138724081573,1
122,transpose,0.010047,0.180672,0.161984,127.54,118.33,1,0.49220477087661796,1
